DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,TYPE_UNIV_MANAGEMENT,FACULTY_TYPE,SEX,TITLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_TYPE_UNIV_MANAGEMENT,NOTE_FACULTY_TYPE,NOTE_SEX,NOTE_TITLE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,2,9,2011,635,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,1,2007,777,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,1,2008,729,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,1,2009,678,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,1,2010,569,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,1,2011,536,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,2,2007,686,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,2,2008,675,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,2,2009,649,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,2,2010,639,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,2,2011,609,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,3,2007,838,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,3,2008,882,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,3,2009,883,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,3,2010,875,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,3,2011,887,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,9,2007,2301,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,9,2008,2286,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,9,2009,2210,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,9,2010,2083,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,1,9,9,2011,2032,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,1,2007,220,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,1,2008,219,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,1,2009,195,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,1,2010,162,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,1,2011,150,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,2,2007,193,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,2,2008,186,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,2,2009,178,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,2,2010,171,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,2,2011,161,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,3,2007,189,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,3,2008,207,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,3,2009,200,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,3,2010,190,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,3,2011,179,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,9,2007,602,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,9,2008,612,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,9,2009,573,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,9,2010,523,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,1,9,2011,490,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,1,2007,195,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,1,2008,186,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,1,2009,179,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,1,2010,160,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,1,2011,138,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,2,2007,272,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,2,2008,263,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,2,2009,255,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,2,2010,245,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,2,2011,224,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,3,2007,318,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,3,2008,339,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,3,2009,331,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,3,2010,317,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,3,2011,305,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,9,2007,785,,,,,,,,,,,,,
IT1:56_188_DF_DCIS_DOCENTI_1(1.0),A,IT,10,9,1,10,2,9,2008,788,,,,,,,,,,,,,
